Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,1,33,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
6,1,1,42,9,ACCELERATING,false,0,0,1,0,0,,,0,0,4
7,1,1,57,15,USED_BOOST,true,5,0,0,0,0,,,0,0,8
8,1,1,72,15,ACCELERATING,true,4,0,0,0,0,,,0,0,8
9,1,1,87,15,ACCELERATING,true,3,0,1,0,0,,,1,0,16
10,1,1,102,15,USED_BOOST,true,5,0,0,0,0,,,1,1,24
11,1,1,117,15,ACCELERATING,true,4,0,0,0,0,,,1,2,28
12,1,1,132,9,HIT_MUD,false,0,1,0,0,0,,,1,2,25
13,1,1,141,9,USED_EMP,false,0,1,0,1,1,,,1,1,37
14,1,1,150,9,USED_OIL,false,0,1,0,0,1,,,1,1,41
15,1,1,159,9,USED_EMP,false,0,1,0,0,1,,,1,0,45
16,1,1,168,9,ACCELERATING,false,0,1,0,0,1,,,1,0,45
17,1,1,177,9,USED_LIZARD,false,0,1,0,0,0,,,1,0,45
18,1,1,186,9,ACCELERATING,false,0,1,0,0,0,,,1,1,49
19,1,1,195,9,USED_EMP,false,0,1,0,0,0,,,1,0,53
20,1,1,204,9,ACCELERATING,false,0,1,1,0,0,,,1,1,61
21,1,1,213,9,USED_BOOST,true,5,1,1,0,1,,,2,1,77
22,1,1,222,9,USED_BOOST,true,5,1,0,0,1,,,2,1,81
23,1,1,231,9,USED_EMP,true,4,1,0,0,1,,,3,0,89
24,1,1,240,8,HIT_MUD,false,0,2,0,0,0,,,3,0,86
25,1,2,247,8,TURNING_RIGHT,false,0,2,0,0,0,,,3,0,86
26,1,2,255,8,ACCELERATING,false,0,2,1,0,0,,,3,0,90
27,1,2,263,8,USED_BOOST,true,5,2,1,0,0,,,3,0,98
28,1,2,271,8,USED_BOOST,true,5,2,0,1,0,,,3,0,106
29,1,2,279,8,ACCELERATING,true,4,2,0,1,0,,,3,0,106
30,1,2,287,8,ACCELERATING,true,3,2,0,1,0,,,3,0,106
31,1,2,295,8,ACCELERATING,true,2,2,0,1,0,,,3,0,106
