Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,1,,,0,0,4
3,2,4,15,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
4,2,4,24,3,HIT_WALL,false,0,2,0,0,1,,,0,0,-1
5,2,4,30,6,ACCELERATING,false,0,2,1,0,1,,,0,0,3
6,2,4,36,6,USED_LIZARD,false,0,2,1,0,0,,,0,0,3
7,2,4,44,8,USED_BOOST,true,5,2,0,0,0,,,0,0,7
8,2,4,52,6,HIT_MUD,false,0,3,0,0,0,,,0,0,4
9,2,4,58,6,ACCELERATING,false,0,3,0,0,0,,,0,0,4
10,2,4,64,3,HIT_MUD,false,0,4,0,1,0,,,0,0,5
