Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,8,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
5,1,1,33,9,ACCELERATING,false,0,1,1,0,0,,,0,1,5
6,1,1,42,8,HIT_MUD,false,0,2,1,0,0,,,0,2,6
7,1,1,50,8,ACCELERATING,false,0,2,1,0,0,,,0,2,6
8,1,1,58,8,ACCELERATING,false,0,2,1,0,0,,,0,2,6
9,1,1,66,8,ACCELERATING,false,0,2,1,0,0,,,0,2,6
10,1,1,74,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
11,1,1,82,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
12,1,1,90,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
13,1,1,98,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
14,1,1,106,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
15,1,1,114,8,ACCELERATING,false,0,2,1,0,0,,,0,3,10
16,1,1,122,8,ACCELERATING,false,0,2,1,0,0,,,0,4,14
17,1,1,130,8,ACCELERATING,false,0,2,1,0,0,,,0,4,14
18,1,1,138,8,ACCELERATING,false,0,2,1,0,0,,,0,4,14
19,1,1,146,6,HIT_MUD,false,0,3,1,0,0,,,0,4,11
20,1,1,152,6,ACCELERATING,false,0,3,1,0,0,,,0,4,11
21,1,1,158,6,ACCELERATING,false,0,3,1,0,0,,,0,4,11
22,1,1,164,6,ACCELERATING,false,0,3,1,0,0,,,0,4,11
23,1,1,170,3,HIT_MUD,false,0,4,1,0,0,,,0,4,8
24,1,1,173,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
25,1,1,176,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
26,1,1,179,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
27,1,1,182,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
28,1,1,185,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
29,1,1,188,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
30,1,1,191,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
31,1,1,194,3,ACCELERATING,false,0,4,1,0,0,,,0,4,8
