Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,2,12,6,TURNING_RIGHT,false,0,0,0,0,1,,,0,0,4
4,1,2,20,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
5,1,2,28,6,HIT_MUD,false,0,1,0,0,0,,,0,0,1
6,1,3,33,6,TURNING_RIGHT,false,0,1,0,0,0,,,0,1,5
7,1,3,41,8,ACCELERATING,false,0,1,0,0,0,,,0,2,9
8,1,3,49,8,USED_EMP,false,0,1,0,0,0,,,0,1,13
9,1,3,58,9,ACCELERATING,false,0,1,0,0,0,,,0,2,17
10,1,4,66,9,TURNING_RIGHT,false,0,1,0,0,0,,,0,2,17
11,1,4,75,9,ACCELERATING,false,0,1,0,1,0,,,1,2,25
12,1,4,84,9,USED_TWEET,false,0,1,0,1,0,4,76,0,2,29
13,1,3,92,9,TURNING_LEFT,false,0,1,0,1,0,4,76,0,2,29
14,1,3,101,3,HIT_WALL,false,0,3,0,0,0,4,76,0,2,28
15,1,3,101,3,FIXED_CAR,false,0,1,0,0,0,4,76,0,2,28
16,1,3,107,6,ACCELERATING,false,0,1,0,0,0,4,76,0,2,28
17,1,3,115,8,ACCELERATING,false,0,1,0,1,0,4,76,0,2,32
18,1,3,124,9,ACCELERATING,false,0,1,0,2,1,4,76,0,2,40
19,1,3,133,9,USED_OIL,false,0,1,0,1,1,4,76,0,2,44
20,1,2,141,9,TURNING_LEFT,false,0,1,0,1,2,4,76,0,2,48
21,1,2,150,9,USED_OIL,false,0,1,1,1,2,4,76,0,3,64
22,1,2,159,9,USED_OIL,false,0,1,1,0,2,4,76,0,3,68
23,1,2,168,8,HIT_MUD,false,0,2,1,0,1,4,76,0,3,65
24,1,2,168,8,FIXED_CAR,false,0,0,1,0,1,4,76,0,3,65
25,1,2,176,6,HIT_MUD,false,0,1,1,0,0,4,76,0,3,62
26,1,3,181,6,TURNING_RIGHT,false,0,1,1,0,0,4,76,0,3,62
27,1,3,189,8,ACCELERATING,false,0,1,1,0,0,4,76,0,3,62
28,1,4,196,8,TURNING_RIGHT,false,0,1,1,0,0,4,76,0,3,62
29,1,4,205,9,ACCELERATING,false,0,1,1,0,0,4,76,0,3,62
